Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Add Category,Chrome 74.0.3729.169,,2019-06-20 09:42:26,2019-06-20 10:05:24,22m - 58.125s,FAILED
,,,,,,
Test Cases/Utilities/ADMIN/Admin Login,Chrome 74.0.3729.169,,2019-06-20 09:42:26,2019-06-20 09:42:38,11.966s,PASSED
openBrowser,Chrome 74.0.3729.169,,2019-06-20 09:42:27,2019-06-20 09:42:31,4.174s,PASSED
maximizeWindow,Chrome 74.0.3729.169,,2019-06-20 09:42:31,2019-06-20 09:42:32,1.181s,PASSED
navigateToUrl,Chrome 74.0.3729.169,,2019-06-20 09:42:32,2019-06-20 09:42:35,3.091s,PASSED
"Statement - If (AdminAccountType == ""custom"")",Chrome 74.0.3729.169,,2019-06-20 09:42:35,2019-06-20 09:42:38,3.212s,PASSED
,,,,,,
Test Cases/ADMIN/Content Mgmt/Categories/Category Add-Edit/Add Category,Chrome 74.0.3729.169,,2019-06-20 09:42:38,2019-06-20 09:42:55,16.403s,PASSED
waitForElementVisible,Chrome 74.0.3729.169,,2019-06-20 09:42:38,2019-06-20 09:42:39,0.359s,PASSED
click,Chrome 74.0.3729.169,,2019-06-20 09:42:39,2019-06-20 09:42:39,0.506s,PASSED
waitForElementVisible,Chrome 74.0.3729.169,,2019-06-20 09:42:39,2019-06-20 09:42:40,0.567s,PASSED
click,Chrome 74.0.3729.169,,2019-06-20 09:42:40,2019-06-20 09:42:41,0.801s,PASSED
click,Chrome 74.0.3729.169,,2019-06-20 09:42:41,2019-06-20 09:42:41,0.301s,PASSED
waitForElementPresent,Chrome 74.0.3729.169,,2019-06-20 09:42:41,2019-06-20 09:42:41,0.041s,PASSED
delay,Chrome 74.0.3729.169,,2019-06-20 09:42:41,2019-06-20 09:42:42,1.020s,PASSED
setText,Chrome 74.0.3729.169,,2019-06-20 09:42:42,2019-06-20 09:42:42,0.303s,PASSED
click,Chrome 74.0.3729.169,,2019-06-20 09:42:42,2019-06-20 09:42:43,0.117s,PASSED
delay,Chrome 74.0.3729.169,,2019-06-20 09:42:43,2019-06-20 09:42:45,2.002s,PASSED
click,Chrome 74.0.3729.169,,2019-06-20 09:42:45,2019-06-20 09:42:45,0.089s,PASSED
selectOptionByLabel,Chrome 74.0.3729.169,,2019-06-20 09:42:45,2019-06-20 09:42:45,0.132s,PASSED
click,Chrome 74.0.3729.169,,2019-06-20 09:42:45,2019-06-20 09:42:45,0.123s,PASSED
delay,Chrome 74.0.3729.169,,2019-06-20 09:42:45,2019-06-20 09:42:47,2.004s,PASSED
uploadFile,Chrome 74.0.3729.169,,2019-06-20 09:42:47,2019-06-20 09:42:47,0.110s,PASSED
waitForElementVisible,Chrome 74.0.3729.169,,2019-06-20 09:42:47,2019-06-20 09:42:47,0.052s,PASSED
click,Chrome 74.0.3729.169,,2019-06-20 09:42:47,2019-06-20 09:42:47,0.080s,PASSED
waitForElementVisible,Chrome 74.0.3729.169,,2019-06-20 09:42:47,2019-06-20 09:42:47,0.062s,PASSED
click,Chrome 74.0.3729.169,,2019-06-20 09:42:47,2019-06-20 09:42:47,0.089s,PASSED
setText,Chrome 74.0.3729.169,,2019-06-20 09:42:47,2019-06-20 09:42:48,0.356s,PASSED
click,Chrome 74.0.3729.169,,2019-06-20 09:42:48,2019-06-20 09:42:48,0.062s,PASSED
waitForElementVisible,Chrome 74.0.3729.169,,2019-06-20 09:42:48,2019-06-20 09:42:49,1.075s,PASSED
waitForElementNotPresent,Chrome 74.0.3729.169,,2019-06-20 09:42:49,2019-06-20 09:42:55,5.823s,PASSED
,,,,,,
Test Cases/ADMIN/Content Mgmt/Categories/Category Add-Edit/Add Category,Chrome 74.0.3729.169,,2019-06-20 09:42:55,2019-06-20 09:43:09,14.152s,PASSED
waitForElementVisible,Chrome 74.0.3729.169,,2019-06-20 09:42:55,2019-06-20 09:42:55,0.060s,PASSED
click,Chrome 74.0.3729.169,,2019-06-20 09:42:55,2019-06-20 09:42:55,0.196s,PASSED
waitForElementVisible,Chrome 74.0.3729.169,,2019-06-20 09:42:55,2019-06-20 09:42:55,0.031s,PASSED
click,Chrome 74.0.3729.169,,2019-06-20 09:42:55,2019-06-20 09:42:56,0.738s,PASSED
click,Chrome 74.0.3729.169,,2019-06-20 09:42:56,2019-06-20 09:42:56,0.176s,PASSED
waitForElementPresent,Chrome 74.0.3729.169,,2019-06-20 09:42:56,2019-06-20 09:42:56,0.014s,PASSED
delay,Chrome 74.0.3729.169,,2019-06-20 09:42:56,2019-06-20 09:42:57,1.003s,PASSED
setText,Chrome 74.0.3729.169,,2019-06-20 09:42:57,2019-06-20 09:42:57,0.148s,PASSED
click,Chrome 74.0.3729.169,,2019-06-20 09:42:57,2019-06-20 09:42:57,0.076s,PASSED
delay,Chrome 74.0.3729.169,,2019-06-20 09:42:57,2019-06-20 09:42:59,2.002s,PASSED
click,Chrome 74.0.3729.169,,2019-06-20 09:42:59,2019-06-20 09:42:59,0.102s,PASSED
selectOptionByLabel,Chrome 74.0.3729.169,,2019-06-20 09:42:59,2019-06-20 09:42:59,0.095s,PASSED
click,Chrome 74.0.3729.169,,2019-06-20 09:42:59,2019-06-20 09:42:59,0.065s,PASSED
delay,Chrome 74.0.3729.169,,2019-06-20 09:42:59,2019-06-20 09:43:01,2.002s,PASSED
uploadFile,Chrome 74.0.3729.169,,2019-06-20 09:43:01,2019-06-20 09:43:01,0.088s,PASSED
waitForElementVisible,Chrome 74.0.3729.169,,2019-06-20 09:43:01,2019-06-20 09:43:01,0.053s,PASSED
click,Chrome 74.0.3729.169,,2019-06-20 09:43:01,2019-06-20 09:43:02,0.074s,PASSED
waitForElementVisible,Chrome 74.0.3729.169,,2019-06-20 09:43:02,2019-06-20 09:43:02,0.039s,PASSED
click,Chrome 74.0.3729.169,,2019-06-20 09:43:02,2019-06-20 09:43:02,0.089s,PASSED
setText,Chrome 74.0.3729.169,,2019-06-20 09:43:02,2019-06-20 09:43:02,0.177s,PASSED
click,Chrome 74.0.3729.169,,2019-06-20 09:43:02,2019-06-20 09:43:02,0.066s,PASSED
waitForElementVisible,Chrome 74.0.3729.169,,2019-06-20 09:43:02,2019-06-20 09:43:02,0.549s,PASSED
waitForElementNotPresent,Chrome 74.0.3729.169,,2019-06-20 09:43:02,2019-06-20 09:43:09,6.298s,PASSED
,,,,,,
Test Cases/ADMIN/Content Mgmt/Categories/Category Add-Edit/Add Category,Chrome 74.0.3729.169,,2019-06-20 09:43:09,2019-06-20 09:43:24,15.277s,PASSED
waitForElementVisible,Chrome 74.0.3729.169,,2019-06-20 09:43:09,2019-06-20 09:43:09,0.064s,PASSED
click,Chrome 74.0.3729.169,,2019-06-20 09:43:09,2019-06-20 09:43:09,0.079s,PASSED
waitForElementVisible,Chrome 74.0.3729.169,,2019-06-20 09:43:09,2019-06-20 09:43:09,0.032s,PASSED
click,Chrome 74.0.3729.169,,2019-06-20 09:43:09,2019-06-20 09:43:11,2.029s,PASSED
click,Chrome 74.0.3729.169,,2019-06-20 09:43:11,2019-06-20 09:43:11,0.164s,PASSED
waitForElementPresent,Chrome 74.0.3729.169,,2019-06-20 09:43:11,2019-06-20 09:43:11,0.016s,PASSED
delay,Chrome 74.0.3729.169,,2019-06-20 09:43:11,2019-06-20 09:43:12,1.002s,PASSED
setText,Chrome 74.0.3729.169,,2019-06-20 09:43:12,2019-06-20 09:43:12,0.169s,PASSED
click,Chrome 74.0.3729.169,,2019-06-20 09:43:12,2019-06-20 09:43:12,0.076s,PASSED
delay,Chrome 74.0.3729.169,,2019-06-20 09:43:12,2019-06-20 09:43:14,2.002s,PASSED
click,Chrome 74.0.3729.169,,2019-06-20 09:43:14,2019-06-20 09:43:14,0.088s,PASSED
selectOptionByLabel,Chrome 74.0.3729.169,,2019-06-20 09:43:14,2019-06-20 09:43:15,0.079s,PASSED
click,Chrome 74.0.3729.169,,2019-06-20 09:43:15,2019-06-20 09:43:15,0.069s,PASSED
delay,Chrome 74.0.3729.169,,2019-06-20 09:43:15,2019-06-20 09:43:17,2.001s,PASSED
uploadFile,Chrome 74.0.3729.169,,2019-06-20 09:43:17,2019-06-20 09:43:17,0.080s,PASSED
waitForElementVisible,Chrome 74.0.3729.169,,2019-06-20 09:43:17,2019-06-20 09:43:17,0.036s,PASSED
click,Chrome 74.0.3729.169,,2019-06-20 09:43:17,2019-06-20 09:43:17,0.070s,PASSED
waitForElementVisible,Chrome 74.0.3729.169,,2019-06-20 09:43:17,2019-06-20 09:43:17,0.030s,PASSED
click,Chrome 74.0.3729.169,,2019-06-20 09:43:17,2019-06-20 09:43:17,0.065s,PASSED
setText,Chrome 74.0.3729.169,,2019-06-20 09:43:17,2019-06-20 09:43:17,0.135s,PASSED
click,Chrome 74.0.3729.169,,2019-06-20 09:43:17,2019-06-20 09:43:17,0.109s,PASSED
waitForElementVisible,Chrome 74.0.3729.169,,2019-06-20 09:43:17,2019-06-20 09:43:18,1.055s,PASSED
waitForElementNotPresent,Chrome 74.0.3729.169,,2019-06-20 09:43:18,2019-06-20 09:43:24,5.812s,PASSED
,,,,,,
Test Cases/ADMIN/Content Mgmt/Categories/Category Add-Edit/Add Category,Chrome 74.0.3729.169,,2019-06-20 09:43:24,2019-06-20 09:43:38,13.720s,PASSED
waitForElementVisible,Chrome 74.0.3729.169,,2019-06-20 09:43:24,2019-06-20 09:43:24,0.068s,PASSED
click,Chrome 74.0.3729.169,,2019-06-20 09:43:24,2019-06-20 09:43:24,0.078s,PASSED
waitForElementVisible,Chrome 74.0.3729.169,,2019-06-20 09:43:24,2019-06-20 09:43:24,0.031s,PASSED
click,Chrome 74.0.3729.169,,2019-06-20 09:43:24,2019-06-20 09:43:25,0.729s,PASSED
click,Chrome 74.0.3729.169,,2019-06-20 09:43:25,2019-06-20 09:43:25,0.270s,PASSED
waitForElementPresent,Chrome 74.0.3729.169,,2019-06-20 09:43:25,2019-06-20 09:43:25,0.016s,PASSED
delay,Chrome 74.0.3729.169,,2019-06-20 09:43:25,2019-06-20 09:43:26,1.002s,PASSED
setText,Chrome 74.0.3729.169,,2019-06-20 09:43:26,2019-06-20 09:43:26,0.176s,PASSED
click,Chrome 74.0.3729.169,,2019-06-20 09:43:26,2019-06-20 09:43:26,0.072s,PASSED
delay,Chrome 74.0.3729.169,,2019-06-20 09:43:26,2019-06-20 09:43:28,2.001s,PASSED
click,Chrome 74.0.3729.169,,2019-06-20 09:43:28,2019-06-20 09:43:29,0.178s,PASSED
selectOptionByLabel,Chrome 74.0.3729.169,,2019-06-20 09:43:29,2019-06-20 09:43:29,0.071s,PASSED
click,Chrome 74.0.3729.169,,2019-06-20 09:43:29,2019-06-20 09:43:29,0.063s,PASSED
delay,Chrome 74.0.3729.169,,2019-06-20 09:43:29,2019-06-20 09:43:31,2.001s,PASSED
uploadFile,Chrome 74.0.3729.169,,2019-06-20 09:43:31,2019-06-20 09:43:31,0.083s,PASSED
waitForElementVisible,Chrome 74.0.3729.169,,2019-06-20 09:43:31,2019-06-20 09:43:31,0.027s,PASSED
click,Chrome 74.0.3729.169,,2019-06-20 09:43:31,2019-06-20 09:43:31,0.084s,PASSED
