Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Add Category,Chrome 78.0.3904.108,,2019-11-25 09:32:45,2019-11-25 10:00:17,27m - 32.787s,FAILED
,,,,,,
Test Cases/Utilities/ADMIN/Admin Login,Chrome 78.0.3904.108,,2019-11-25 09:32:45,2019-11-25 09:33:02,17.375s,PASSED
openBrowser,Chrome 78.0.3904.108,,2019-11-25 09:32:45,2019-11-25 09:32:48,2.930s,PASSED
maximizeWindow,Chrome 78.0.3904.108,,2019-11-25 09:32:48,2019-11-25 09:32:49,1.201s,PASSED
navigateToUrl,Chrome 78.0.3904.108,,2019-11-25 09:32:49,2019-11-25 09:32:51,2.024s,PASSED
"Statement - If (AdminAccountType == ""custom"")",Chrome 78.0.3904.108,,2019-11-25 09:32:51,2019-11-25 09:33:02,10.909s,PASSED
,,,,,,
Test Cases/ADMIN/Content Mgmt/Categories/Category Add-Edit/Add Category,Chrome 78.0.3904.108,,2019-11-25 09:33:02,2019-11-25 09:33:49,46.335s,FAILED
waitForElementVisible,Chrome 78.0.3904.108,,2019-11-25 09:33:03,2019-11-25 09:33:03,0.050s,PASSED
click,Chrome 78.0.3904.108,,2019-11-25 09:33:03,2019-11-25 09:33:03,0.082s,PASSED
waitForElementVisible,Chrome 78.0.3904.108,,2019-11-25 09:33:03,2019-11-25 09:33:03,0.552s,PASSED
click,Chrome 78.0.3904.108,,2019-11-25 09:33:03,2019-11-25 09:33:05,1.656s,PASSED
click,Chrome 78.0.3904.108,,2019-11-25 09:33:05,2019-11-25 09:33:05,0.318s,PASSED
waitForElementPresent,Chrome 78.0.3904.108,,2019-11-25 09:33:05,2019-11-25 09:33:05,0.076s,PASSED
delay,Chrome 78.0.3904.108,,2019-11-25 09:33:05,2019-11-25 09:33:06,1.024s,PASSED
setText,Chrome 78.0.3904.108,,2019-11-25 09:33:06,2019-11-25 09:33:06,0.180s,PASSED
click,Chrome 78.0.3904.108,,2019-11-25 09:33:06,2019-11-25 09:33:07,0.069s,PASSED
delay,Chrome 78.0.3904.108,,2019-11-25 09:33:07,2019-11-25 09:33:09,2.005s,PASSED
click,Chrome 78.0.3904.108,,2019-11-25 09:33:09,2019-11-25 09:33:09,0.084s,PASSED
selectOptionByLabel,Chrome 78.0.3904.108,,2019-11-25 09:33:09,2019-11-25 09:33:09,0.071s,PASSED
click,Chrome 78.0.3904.108,,2019-11-25 09:33:09,2019-11-25 09:33:09,0.108s,PASSED
delay,Chrome 78.0.3904.108,,2019-11-25 09:33:09,2019-11-25 09:33:10,1.002s,PASSED
uploadFile,Chrome 78.0.3904.108,,2019-11-25 09:33:10,2019-11-25 09:33:10,0.530s,FAILED
waitForElementVisible,Chrome 78.0.3904.108,,2019-11-25 09:33:10,2019-11-25 09:33:16,5.279s,PASSED
click,Chrome 78.0.3904.108,,2019-11-25 09:33:16,2019-11-25 09:33:16,0.133s,PASSED
waitForElementVisible,Chrome 78.0.3904.108,,2019-11-25 09:33:16,2019-11-25 09:33:16,0.057s,PASSED
click,Chrome 78.0.3904.108,,2019-11-25 09:33:16,2019-11-25 09:33:16,0.132s,PASSED
delay,Chrome 78.0.3904.108,,2019-11-25 09:33:16,2019-11-25 09:33:17,1.002s,PASSED
setText,Chrome 78.0.3904.108,,2019-11-25 09:33:17,2019-11-25 09:33:17,0.158s,PASSED
click,Chrome 78.0.3904.108,,2019-11-25 09:33:17,2019-11-25 09:33:17,0.124s,PASSED
waitForElementVisible,Chrome 78.0.3904.108,,2019-11-25 09:33:17,2019-11-25 09:33:49,31.321s,PASSED
waitForElementNotPresent,Chrome 78.0.3904.108,,2019-11-25 09:33:49,2019-11-25 09:33:49,0.101s,PASSED
,,,,,,
Test Cases/ADMIN/Content Mgmt/Categories/Category Add-Edit/Add Category,Chrome 78.0.3904.108,,2019-11-25 09:33:49,2019-11-25 09:34:09,20.145s,FAILED
waitForElementVisible,Chrome 78.0.3904.108,,2019-11-25 09:33:49,2019-11-25 09:33:49,0.075s,PASSED
click,Chrome 78.0.3904.108,,2019-11-25 09:33:49,2019-11-25 09:33:49,0.580s,FAILED
waitForElementVisible,Chrome 78.0.3904.108,,2019-11-25 09:33:49,2019-11-25 09:33:49,0.027s,PASSED
click,Chrome 78.0.3904.108,,2019-11-25 09:33:49,2019-11-25 09:33:50,0.428s,FAILED
click,Chrome 78.0.3904.108,,2019-11-25 09:33:50,2019-11-25 09:33:50,0.540s,FAILED
waitForElementPresent,Chrome 78.0.3904.108,,2019-11-25 09:33:51,2019-11-25 09:33:51,0.015s,PASSED
delay,Chrome 78.0.3904.108,,2019-11-25 09:33:51,2019-11-25 09:33:52,1.002s,PASSED
setText,Chrome 78.0.3904.108,,2019-11-25 09:33:52,2019-11-25 09:33:52,0.261s,PASSED
click,Chrome 78.0.3904.108,,2019-11-25 09:33:52,2019-11-25 09:33:52,0.114s,PASSED
delay,Chrome 78.0.3904.108,,2019-11-25 09:33:52,2019-11-25 09:33:54,2.009s,PASSED
click,Chrome 78.0.3904.108,,2019-11-25 09:33:54,2019-11-25 09:33:54,0.114s,PASSED
selectOptionByLabel,Chrome 78.0.3904.108,,2019-11-25 09:33:54,2019-11-25 09:33:54,0.043s,PASSED
click,Chrome 78.0.3904.108,,2019-11-25 09:33:54,2019-11-25 09:33:54,0.055s,PASSED
delay,Chrome 78.0.3904.108,,2019-11-25 09:33:54,2019-11-25 09:33:55,1.002s,PASSED
uploadFile,Chrome 78.0.3904.108,,2019-11-25 09:33:55,2019-11-25 09:33:56,0.460s,FAILED
waitForElementVisible,Chrome 78.0.3904.108,,2019-11-25 09:33:56,2019-11-25 09:34:01,4.719s,PASSED
click,Chrome 78.0.3904.108,,2019-11-25 09:34:01,2019-11-25 09:34:01,0.081s,PASSED
waitForElementVisible,Chrome 78.0.3904.108,,2019-11-25 09:34:01,2019-11-25 09:34:01,0.038s,PASSED
