Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Add Custom Field,Chrome 78.0.3904.108,,2019-11-25 10:04:45,2019-11-25 10:13:49,9m - 3.777s,PASSED
,,,,,,
Test Cases/ADMIN/Content Mgmt/Custom Fields Page/Add Custom Item Fields/Add_CF_DataDriven,Chrome 78.0.3904.108,,2019-11-25 10:04:45,2019-11-25 10:04:53,7.233s,PASSED
waitForElementVisible,Chrome 78.0.3904.108,,2019-11-25 10:04:46,2019-11-25 10:04:47,0.988s,PASSED
click,Chrome 78.0.3904.108,,2019-11-25 10:04:47,2019-11-25 10:04:48,0.927s,PASSED
comment,Chrome 78.0.3904.108,,2019-11-25 10:04:48,2019-11-25 10:04:48,0.023s,PASSED
"Statement - If (varCustomFieldType == ""Checkbox"")",Chrome 78.0.3904.108,,2019-11-25 10:04:48,2019-11-25 10:04:48,0.002s,PASSED
"Statement - Else If (varCustomFieldType == ""Date / Time picker"")",Chrome 78.0.3904.108,,2019-11-25 10:04:48,2019-11-25 10:04:48,0.001s,PASSED
"Statement - Else If (varCustomFieldType == ""Drop Down"")",Chrome 78.0.3904.108,,2019-11-25 10:04:48,2019-11-25 10:04:48,0.001s,PASSED
"Statement - Else If (varCustomFieldType == ""Email"")",Chrome 78.0.3904.108,,2019-11-25 10:04:48,2019-11-25 10:04:48,0.001s,PASSED
"Statement - Else If (varCustomFieldType == ""Embed Video"")",Chrome 78.0.3904.108,,2019-11-25 10:04:48,2019-11-25 10:04:48,0.000s,PASSED
"Statement - Else If (varCustomFieldType == ""Hyperlink / URL"")",Chrome 78.0.3904.108,,2019-11-25 10:04:48,2019-11-25 10:04:48,0.001s,PASSED
"Statement - Else If (varCustomFieldType == ""Location"")",Chrome 78.0.3904.108,,2019-11-25 10:04:48,2019-11-25 10:04:48,0.001s,PASSED
"Statement - Else If (varCustomFieldType == ""Number"")",Chrome 78.0.3904.108,,2019-11-25 10:04:48,2019-11-25 10:04:48,0.001s,PASSED
"Statement - Else If (varCustomFieldType == ""PDF File"")",Chrome 78.0.3904.108,,2019-11-25 10:04:48,2019-11-25 10:04:48,0.000s,PASSED
"Statement - Else If (varCustomFieldType == ""Percentage"")",Chrome 78.0.3904.108,,2019-11-25 10:04:48,2019-11-25 10:04:48,0.001s,PASSED
"Statement - Else If (varCustomFieldType == ""Text Editor"")",Chrome 78.0.3904.108,,2019-11-25 10:04:48,2019-11-25 10:04:48,0.007s,PASSED
