Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
3_UI Verification - Add Delivery,Chrome 78.0.3904.87,,2019-11-04 09:22:43,2019-11-04 09:24:11,1m - 28.084s,FAILED
,,,,,,
Test Cases/Utilities/ADMIN/Admin Login,Chrome 78.0.3904.87,,2019-11-04 09:22:43,2019-11-04 09:22:54,10.418s,PASSED
openBrowser,Chrome 78.0.3904.87,,2019-11-04 09:22:44,2019-11-04 09:22:47,3.051s,PASSED
maximizeWindow,Chrome 78.0.3904.87,,2019-11-04 09:22:47,2019-11-04 09:22:48,1.130s,PASSED
navigateToUrl,Chrome 78.0.3904.87,,2019-11-04 09:22:48,2019-11-04 09:22:50,2.369s,PASSED
"Statement - If (AdminAccountType == ""custom"")",Chrome 78.0.3904.87,,2019-11-04 09:22:50,2019-11-04 09:22:54,3.554s,PASSED
,,,,,,
Test Cases/ADMIN/Features Control/Delivery 2.0/Delivery 2.0 List Page/navigate_Delivery2.0,Chrome 78.0.3904.87,,2019-11-04 09:22:54,2019-11-04 09:22:57,3.331s,PASSED
waitForElementVisible,Chrome 78.0.3904.87,,2019-11-04 09:22:54,2019-11-04 09:22:54,0.052s,PASSED
click,Chrome 78.0.3904.87,,2019-11-04 09:22:54,2019-11-04 09:22:54,0.563s,PASSED
waitForElementVisible,Chrome 78.0.3904.87,,2019-11-04 09:22:54,2019-11-04 09:22:54,0.054s,PASSED
delay,Chrome 78.0.3904.87,,2019-11-04 09:22:54,2019-11-04 09:22:56,2.023s,PASSED
click,Chrome 78.0.3904.87,,2019-11-04 09:22:56,2019-11-04 09:22:57,0.485s,PASSED
,,,,,,
Test Cases/ADMIN/Features Control/Delivery 2.0/Delivery 2.0 List Page/Complex/TC020,Chrome 78.0.3904.87,,2019-11-04 09:22:57,2019-11-04 09:23:00,3.089s,PASSED
waitForElementVisible,Chrome 78.0.3904.87,,2019-11-04 09:22:57,2019-11-04 09:22:57,0.191s,PASSED
delay,Chrome 78.0.3904.87,,2019-11-04 09:22:57,2019-11-04 09:22:59,2.003s,PASSED
click,Chrome 78.0.3904.87,,2019-11-04 09:22:59,2019-11-04 09:23:00,0.680s,PASSED
verifyElementVisible,Chrome 78.0.3904.87,,2019-11-04 09:23:00,2019-11-04 09:23:00,0.077s,PASSED
,,,,,,
