Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
4_Field Verification - Add Delivery,Chrome 78.0.3904.87,,2019-11-04 10:27:53,2019-11-04 10:30:03,2m - 10.385s,FAILED
,,,,,,
Test Cases/Utilities/ADMIN/Admin Login,Chrome 78.0.3904.87,,2019-11-04 10:27:53,2019-11-04 10:28:05,11.613s,PASSED
openBrowser,Chrome 78.0.3904.87,,2019-11-04 10:27:54,2019-11-04 10:27:57,3.338s,PASSED
maximizeWindow,Chrome 78.0.3904.87,,2019-11-04 10:27:57,2019-11-04 10:27:58,1.156s,PASSED
navigateToUrl,Chrome 78.0.3904.87,,2019-11-04 10:27:58,2019-11-04 10:28:00,1.758s,PASSED
"Statement - If (AdminAccountType == ""custom"")",Chrome 78.0.3904.87,,2019-11-04 10:28:00,2019-11-04 10:28:05,4.984s,PASSED
,,,,,,
Test Cases/ADMIN/Features Control/Delivery 2.0/Delivery 2.0 List Page/navigate_Delivery2.0,Chrome 78.0.3904.87,,2019-11-04 10:28:05,2019-11-04 10:28:09,3.906s,PASSED
waitForElementVisible,Chrome 78.0.3904.87,,2019-11-04 10:28:05,2019-11-04 10:28:05,0.185s,PASSED
click,Chrome 78.0.3904.87,,2019-11-04 10:28:05,2019-11-04 10:28:06,0.783s,PASSED
waitForElementVisible,Chrome 78.0.3904.87,,2019-11-04 10:28:06,2019-11-04 10:28:06,0.218s,PASSED
delay,Chrome 78.0.3904.87,,2019-11-04 10:28:06,2019-11-04 10:28:08,2.019s,PASSED
click,Chrome 78.0.3904.87,,2019-11-04 10:28:08,2019-11-04 10:28:09,0.512s,PASSED
,,,,,,
Test Cases/ADMIN/Features Control/Delivery 2.0/Delivery 2.0 List Page/Complex/TC020,Chrome 78.0.3904.87,,2019-11-04 10:28:09,2019-11-04 10:28:13,3.722s,PASSED
waitForElementVisible,Chrome 78.0.3904.87,,2019-11-04 10:28:09,2019-11-04 10:28:09,0.177s,PASSED
delay,Chrome 78.0.3904.87,,2019-11-04 10:28:09,2019-11-04 10:28:11,2.002s,PASSED
click,Chrome 78.0.3904.87,,2019-11-04 10:28:11,2019-11-04 10:28:12,1.246s,PASSED
verifyElementVisible,Chrome 78.0.3904.87,,2019-11-04 10:28:12,2019-11-04 10:28:13,0.172s,PASSED
,,,,,,
Test Cases/ADMIN/Features Control/Delivery 2.0/Delivery 2.0/Complex/TC033,Chrome 78.0.3904.87,,2019-11-04 10:28:13,2019-11-04 10:28:21,8.104s,PASSED
waitForElementVisible,Chrome 78.0.3904.87,Empty Delivery Option Name,2019-11-04 10:28:13,2019-11-04 10:28:13,0.148s,PASSED
click,Chrome 78.0.3904.87,,2019-11-04 10:28:13,2019-11-04 10:28:13,0.111s,PASSED
waitForElementVisible,Chrome 78.0.3904.87,,2019-11-04 10:28:13,2019-11-04 10:28:13,0.038s,PASSED
setText,Chrome 78.0.3904.87,,2019-11-04 10:28:13,2019-11-04 10:28:13,0.518s,PASSED
waitForElementVisible,Chrome 78.0.3904.87,,2019-11-04 10:28:13,2019-11-04 10:28:14,0.028s,PASSED
delay,Chrome 78.0.3904.87,,2019-11-04 10:28:14,2019-11-04 10:28:16,2.002s,PASSED
click,Chrome 78.0.3904.87,,2019-11-04 10:28:16,2019-11-04 10:28:16,0.105s,PASSED
setText,Chrome 78.0.3904.87,,2019-11-04 10:28:16,2019-11-04 10:28:16,0.141s,PASSED
setText,Chrome 78.0.3904.87,,2019-11-04 10:28:16,2019-11-04 10:28:16,0.130s,PASSED
waitForElementVisible,Chrome 78.0.3904.87,,2019-11-04 10:28:16,2019-11-04 10:28:16,0.046s,PASSED
setText,Chrome 78.0.3904.87,,2019-11-04 10:28:16,2019-11-04 10:28:16,0.125s,PASSED
setText,Chrome 78.0.3904.87,,2019-11-04 10:28:16,2019-11-04 10:28:16,0.078s,PASSED
setText,Chrome 78.0.3904.87,,2019-11-04 10:28:16,2019-11-04 10:28:16,0.076s,PASSED
setText,Chrome 78.0.3904.87,,2019-11-04 10:28:16,2019-11-04 10:28:16,0.092s,PASSED
delay,Chrome 78.0.3904.87,,2019-11-04 10:28:16,2019-11-04 10:28:18,2.002s,PASSED
click,Chrome 78.0.3904.87,,2019-11-04 10:28:18,2019-11-04 10:28:18,0.169s,PASSED
delay,Chrome 78.0.3904.87,,2019-11-04 10:28:18,2019-11-04 10:28:20,2.002s,PASSED
click,Chrome 78.0.3904.87,,2019-11-04 10:28:20,2019-11-04 10:28:21,0.105s,PASSED
comment,Chrome 78.0.3904.87,,2019-11-04 10:28:21,2019-11-04 10:28:21,0.006s,PASSED
refresh,Chrome 78.0.3904.87,,2019-11-04 10:28:21,2019-11-04 10:28:21,0.038s,PASSED
,,,,,,
Test Cases/ADMIN/Features Control/Delivery 2.0/Delivery 2.0/Complex/TC034,Chrome 78.0.3904.87,,2019-11-04 10:28:21,2019-11-04 10:28:27,5.873s,PASSED
waitForElementVisible,Chrome 78.0.3904.87,Empty Country,2019-11-04 10:28:21,2019-11-04 10:28:21,0.453s,PASSED
setText,Chrome 78.0.3904.87,,2019-11-04 10:28:21,2019-11-04 10:28:22,0.413s,PASSED
setText,Chrome 78.0.3904.87,,2019-11-04 10:28:22,2019-11-04 10:28:22,0.122s,PASSED
setText,Chrome 78.0.3904.87,,2019-11-04 10:28:22,2019-11-04 10:28:22,0.126s,PASSED
waitForElementVisible,Chrome 78.0.3904.87,,2019-11-04 10:28:22,2019-11-04 10:28:22,0.036s,PASSED
setText,Chrome 78.0.3904.87,,2019-11-04 10:28:22,2019-11-04 10:28:22,0.110s,PASSED
setText,Chrome 78.0.3904.87,,2019-11-04 10:28:22,2019-11-04 10:28:22,0.074s,PASSED
setText,Chrome 78.0.3904.87,,2019-11-04 10:28:22,2019-11-04 10:28:22,0.077s,PASSED
setText,Chrome 78.0.3904.87,,2019-11-04 10:28:22,2019-11-04 10:28:22,0.096s,PASSED
delay,Chrome 78.0.3904.87,,2019-11-04 10:28:22,2019-11-04 10:28:24,2.011s,PASSED
click,Chrome 78.0.3904.87,,2019-11-04 10:28:24,2019-11-04 10:28:24,0.075s,PASSED
delay,Chrome 78.0.3904.87,,2019-11-04 10:28:24,2019-11-04 10:28:26,2.002s,PASSED
click,Chrome 78.0.3904.87,,2019-11-04 10:28:26,2019-11-04 10:28:27,0.120s,PASSED
comment,Chrome 78.0.3904.87,,2019-11-04 10:28:27,2019-11-04 10:28:27,0.003s,PASSED
refresh,Chrome 78.0.3904.87,,2019-11-04 10:28:27,2019-11-04 10:28:27,0.014s,PASSED
,,,,,,
Test Cases/ADMIN/Features Control/Delivery 2.0/Delivery 2.0/Complex/TC036,Chrome 78.0.3904.87,,2019-11-04 10:28:27,2019-11-04 10:28:30,3.389s,PASSED
waitForElementVisible,Chrome 78.0.3904.87,Verify Select All is working,2019-11-04 10:28:27,2019-11-04 10:28:27,0.439s,PASSED
click,Chrome 78.0.3904.87,,2019-11-04 10:28:27,2019-11-04 10:28:27,0.306s,PASSED
waitForElementVisible,Chrome 78.0.3904.87,,2019-11-04 10:28:27,2019-11-04 10:28:27,0.079s,PASSED
click,Chrome 78.0.3904.87,,2019-11-04 10:28:27,2019-11-04 10:28:29,1.131s,PASSED
waitForElementVisible,Chrome 78.0.3904.87,,2019-11-04 10:28:29,2019-11-04 10:28:29,0.107s,PASSED
verifyElementVisible,Chrome 78.0.3904.87,,2019-11-04 10:28:29,2019-11-04 10:28:29,0.090s,PASSED
click,Chrome 78.0.3904.87,,2019-11-04 10:28:29,2019-11-04 10:28:29,0.122s,PASSED
waitForElementVisible,Chrome 78.0.3904.87,,2019-11-04 10:28:29,2019-11-04 10:28:29,0.037s,PASSED
verifyElementVisible,Chrome 78.0.3904.87,,2019-11-04 10:28:29,2019-11-04 10:28:29,0.065s,PASSED
verifyElementVisible,Chrome 78.0.3904.87,,2019-11-04 10:28:29,2019-11-04 10:28:29,0.091s,PASSED
refresh,Chrome 78.0.3904.87,,2019-11-04 10:28:29,2019-11-04 10:28:30,0.809s,PASSED
,,,,,,
Test Cases/ADMIN/Features Control/Delivery 2.0/Delivery 2.0/Complex/TC037,Chrome 78.0.3904.87,,2019-11-04 10:28:30,2019-11-04 10:29:39,1m - 9.316s,FAILED
waitForElementVisible,Chrome 78.0.3904.87,Verify Select None Working,2019-11-04 10:28:30,2019-11-04 10:28:30,0.049s,PASSED
click,Chrome 78.0.3904.87,,2019-11-04 10:28:30,2019-11-04 10:28:30,0.198s,PASSED
waitForElementVisible,Chrome 78.0.3904.87,,2019-11-04 10:28:30,2019-11-04 10:28:30,0.055s,PASSED
click,Chrome 78.0.3904.87,,2019-11-04 10:28:30,2019-11-04 10:28:32,1.160s,PASSED
waitForElementVisible,Chrome 78.0.3904.87,,2019-11-04 10:28:32,2019-11-04 10:28:32,0.073s,PASSED
verifyElementVisible,Chrome 78.0.3904.87,,2019-11-04 10:28:32,2019-11-04 10:28:32,0.095s,PASSED
click,Chrome 78.0.3904.87,,2019-11-04 10:28:32,2019-11-04 10:28:32,0.104s,PASSED
waitForElementVisible,Chrome 78.0.3904.87,,2019-11-04 10:28:32,2019-11-04 10:28:32,0.029s,PASSED
click,Chrome 78.0.3904.87,,2019-11-04 10:28:32,2019-11-04 10:28:33,1.022s,PASSED
delay,Chrome 78.0.3904.87,,2019-11-04 10:28:33,2019-11-04 10:28:35,2.002s,PASSED
verifyElementNotVisible,Chrome 78.0.3904.87,,2019-11-04 10:28:35,2019-11-04 10:29:07,31.684s,FAILED
verifyElementNotVisible,Chrome 78.0.3904.87,,2019-11-04 10:29:07,2019-11-04 10:29:38,31.652s,FAILED
refresh,Chrome 78.0.3904.87,,2019-11-04 10:29:38,2019-11-04 10:29:39,1.038s,PASSED
,,,,,,
Test Cases/ADMIN/Features Control/Delivery 2.0/Delivery 2.0/Complex/TC038,Chrome 78.0.3904.87,,2019-11-04 10:29:39,2019-11-04 10:29:53,13.776s,PASSED
waitForElementVisible,Chrome 78.0.3904.87,,2019-11-04 10:29:40,2019-11-04 10:29:40,0.136s,PASSED
setText,Chrome 78.0.3904.87,Empty MLT,2019-11-04 10:29:40,2019-11-04 10:29:45,5.385s,PASSED
click,Chrome 78.0.3904.87,,2019-11-04 10:29:45,2019-11-04 10:29:45,0.107s,PASSED
waitForElementVisible,Chrome 78.0.3904.87,,2019-11-04 10:29:45,2019-11-04 10:29:45,0.052s,PASSED
setText,Chrome 78.0.3904.87,,2019-11-04 10:29:45,2019-11-04 10:29:46,0.575s,PASSED
waitForElementVisible,Chrome 78.0.3904.87,,2019-11-04 10:29:46,2019-11-04 10:29:46,0.024s,PASSED
delay,Chrome 78.0.3904.87,,2019-11-04 10:29:46,2019-11-04 10:29:48,2.001s,PASSED
click,Chrome 78.0.3904.87,,2019-11-04 10:29:48,2019-11-04 10:29:48,0.088s,PASSED
setText,Chrome 78.0.3904.87,,2019-11-04 10:29:48,2019-11-04 10:29:48,0.270s,PASSED
setText,Chrome 78.0.3904.87,,2019-11-04 10:29:48,2019-11-04 10:29:48,0.107s,PASSED
waitForElementVisible,Chrome 78.0.3904.87,,2019-11-04 10:29:48,2019-11-04 10:29:48,0.035s,PASSED
setText,Chrome 78.0.3904.87,,2019-11-04 10:29:48,2019-11-04 10:29:48,0.130s,PASSED
setText,Chrome 78.0.3904.87,,2019-11-04 10:29:48,2019-11-04 10:29:49,0.088s,PASSED
setText,Chrome 78.0.3904.87,,2019-11-04 10:29:49,2019-11-04 10:29:49,0.107s,PASSED
setText,Chrome 78.0.3904.87,,2019-11-04 10:29:49,2019-11-04 10:29:49,0.106s,PASSED
delay,Chrome 78.0.3904.87,,2019-11-04 10:29:49,2019-11-04 10:29:51,2.000s,PASSED
click,Chrome 78.0.3904.87,,2019-11-04 10:29:51,2019-11-04 10:29:51,0.143s,PASSED
