Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
UI Verification_Start Selling,Chrome 77.0.3865.90,,2019-10-08 13:39:43,2019-10-08 13:41:38,1m - 54.691s,FAILED
,,,,,,
Test Cases/Utilities/ADMIN/Admin Login,Chrome 77.0.3865.90,,2019-10-08 13:39:43,2019-10-08 13:39:53,9.961s,PASSED
openBrowser,Chrome 77.0.3865.90,,2019-10-08 13:39:44,2019-10-08 13:39:46,2.648s,PASSED
maximizeWindow,Chrome 77.0.3865.90,,2019-10-08 13:39:46,2019-10-08 13:39:47,1.146s,PASSED
navigateToUrl,Chrome 77.0.3865.90,,2019-10-08 13:39:47,2019-10-08 13:39:50,2.345s,PASSED
"Statement - If (AdminAccountType == ""custom"")",Chrome 77.0.3865.90,,2019-10-08 13:39:50,2019-10-08 13:39:53,3.593s,PASSED
,,,,,,
Test Cases/ADMIN/Email Notifications/Start Selling/Precondition_Navigation,Chrome 77.0.3865.90,,2019-10-08 13:39:53,2019-10-08 13:39:54,1.007s,PASSED
waitForElementVisible,Chrome 77.0.3865.90,,2019-10-08 13:39:53,2019-10-08 13:39:53,0.029s,PASSED
waitForElementVisible,Chrome 77.0.3865.90,,2019-10-08 13:39:53,2019-10-08 13:39:54,0.025s,PASSED
scrollToElement,Chrome 77.0.3865.90,,2019-10-08 13:39:54,2019-10-08 13:39:54,0.022s,PASSED
click,Chrome 77.0.3865.90,,2019-10-08 13:39:54,2019-10-08 13:39:54,0.083s,PASSED
waitForElementVisible,Chrome 77.0.3865.90,,2019-10-08 13:39:54,2019-10-08 13:39:54,0.026s,PASSED
click,Chrome 77.0.3865.90,,2019-10-08 13:39:54,2019-10-08 13:39:54,0.726s,PASSED
,,,,,,
Test Cases/ADMIN/Email Notifications/Start Selling/01_StartSelling,Chrome 77.0.3865.90,,2019-10-08 13:39:54,2019-10-08 13:39:55,0.977s,PASSED
refresh,Chrome 77.0.3865.90,,2019-10-08 13:39:54,2019-10-08 13:39:55,0.555s,PASSED
waitForElementVisible,Chrome 77.0.3865.90,,2019-10-08 13:39:55,2019-10-08 13:39:55,0.034s,PASSED
click,Chrome 77.0.3865.90,,2019-10-08 13:39:55,2019-10-08 13:39:55,0.060s,PASSED
click,Chrome 77.0.3865.90,,2019-10-08 13:39:55,2019-10-08 13:39:55,0.170s,PASSED
delay,Chrome 77.0.3865.90,,2019-10-08 13:39:55,2019-10-08 13:39:55,0.015s,PASSED
waitForElementVisible,Chrome 77.0.3865.90,,2019-10-08 13:39:55,2019-10-08 13:39:55,0.036s,PASSED
verifyElementVisible,Chrome 77.0.3865.90,,2019-10-08 13:39:55,2019-10-08 13:39:55,0.027s,PASSED
,,,,,,
Test Cases/ADMIN/Email Notifications/Start Selling/02_SentautomaticallytoanySeller,Chrome 77.0.3865.90,,2019-10-08 13:39:55,2019-10-08 13:39:57,1.161s,PASSED
refresh,Chrome 77.0.3865.90,,2019-10-08 13:39:56,2019-10-08 13:39:56,0.007s,PASSED
waitForElementVisible,Chrome 77.0.3865.90,,2019-10-08 13:39:56,2019-10-08 13:39:56,0.767s,PASSED
click,Chrome 77.0.3865.90,,2019-10-08 13:39:56,2019-10-08 13:39:56,0.089s,PASSED
click,Chrome 77.0.3865.90,,2019-10-08 13:39:56,2019-10-08 13:39:56,0.099s,PASSED
delay,Chrome 77.0.3865.90,,2019-10-08 13:39:56,2019-10-08 13:39:56,0.001s,PASSED
waitForElementVisible,Chrome 77.0.3865.90,,2019-10-08 13:39:56,2019-10-08 13:39:56,0.027s,PASSED
verifyElementVisible,Chrome 77.0.3865.90,,2019-10-08 13:39:56,2019-10-08 13:39:57,0.018s,PASSED
,,,,,,
Test Cases/ADMIN/Email Notifications/Start Selling/03_StartSellingEdit,Chrome 77.0.3865.90,,2019-10-08 13:39:57,2019-10-08 13:39:57,0.833s,PASSED
refresh,Chrome 77.0.3865.90,,2019-10-08 13:39:57,2019-10-08 13:39:57,0.009s,PASSED
waitForElementVisible,Chrome 77.0.3865.90,,2019-10-08 13:39:57,2019-10-08 13:39:57,0.553s,PASSED
click,Chrome 77.0.3865.90,,2019-10-08 13:39:57,2019-10-08 13:39:57,0.088s,PASSED
click,Chrome 77.0.3865.90,,2019-10-08 13:39:57,2019-10-08 13:39:57,0.067s,PASSED
delay,Chrome 77.0.3865.90,,2019-10-08 13:39:57,2019-10-08 13:39:57,0.000s,PASSED
waitForElementVisible,Chrome 77.0.3865.90,,2019-10-08 13:39:57,2019-10-08 13:39:57,0.028s,PASSED
verifyElementVisible,Chrome 77.0.3865.90,,2019-10-08 13:39:57,2019-10-08 13:39:57,0.019s,PASSED
,,,,,,
Test Cases/ADMIN/Email Notifications/Start Selling/04_StartSellingRedirection,Chrome 77.0.3865.90,,2019-10-08 13:39:57,2019-10-08 13:40:02,5.065s,PASSED
refresh,Chrome 77.0.3865.90,,2019-10-08 13:39:57,2019-10-08 13:39:57,0.015s,PASSED
waitForElementVisible,Chrome 77.0.3865.90,,2019-10-08 13:39:57,2019-10-08 13:39:58,0.777s,PASSED
click,Chrome 77.0.3865.90,,2019-10-08 13:39:58,2019-10-08 13:39:58,0.071s,PASSED
click,Chrome 77.0.3865.90,,2019-10-08 13:39:58,2019-10-08 13:39:58,0.049s,PASSED
waitForElementVisible,Chrome 77.0.3865.90,,2019-10-08 13:39:58,2019-10-08 13:39:58,0.027s,PASSED
click,Chrome 77.0.3865.90,,2019-10-08 13:39:58,2019-10-08 13:40:00,1.560s,PASSED
verifyElementVisible,Chrome 77.0.3865.90,,2019-10-08 13:40:00,2019-10-08 13:40:02,2.272s,PASSED
back,Chrome 77.0.3865.90,,2019-10-08 13:40:02,2019-10-08 13:40:02,0.216s,PASSED
,,,,,,
Test Cases/ADMIN/Email Notifications/Start Selling/05_StartSellingDescRedirection,Chrome 77.0.3865.90,,2019-10-08 13:40:02,2019-10-08 13:40:05,2.719s,PASSED
refresh,Chrome 77.0.3865.90,,2019-10-08 13:40:02,2019-10-08 13:40:03,0.682s,PASSED
waitForElementVisible,Chrome 77.0.3865.90,,2019-10-08 13:40:03,2019-10-08 13:40:03,0.086s,PASSED
click,Chrome 77.0.3865.90,,2019-10-08 13:40:03,2019-10-08 13:40:03,0.097s,PASSED
click,Chrome 77.0.3865.90,,2019-10-08 13:40:03,2019-10-08 13:40:03,0.071s,PASSED
waitForElementVisible,Chrome 77.0.3865.90,,2019-10-08 13:40:03,2019-10-08 13:40:03,0.026s,PASSED
click,Chrome 77.0.3865.90,,2019-10-08 13:40:03,2019-10-08 13:40:04,0.880s,PASSED
verifyElementVisible,Chrome 77.0.3865.90,,2019-10-08 13:40:04,2019-10-08 13:40:05,0.580s,PASSED
back,Chrome 77.0.3865.90,,2019-10-08 13:40:05,2019-10-08 13:40:05,0.223s,PASSED
,,,,,,
Test Cases/ADMIN/Email Notifications/Start Selling/06_StartSellingEditRedirection,Chrome 77.0.3865.90,,2019-10-08 13:40:05,2019-10-08 13:40:07,2.257s,PASSED
refresh,Chrome 77.0.3865.90,,2019-10-08 13:40:05,2019-10-08 13:40:05,0.006s,PASSED
waitForElementVisible,Chrome 77.0.3865.90,,2019-10-08 13:40:05,2019-10-08 13:40:06,0.634s,PASSED
click,Chrome 77.0.3865.90,,2019-10-08 13:40:06,2019-10-08 13:40:06,0.133s,PASSED
click,Chrome 77.0.3865.90,,2019-10-08 13:40:06,2019-10-08 13:40:06,0.064s,PASSED
waitForElementVisible,Chrome 77.0.3865.90,,2019-10-08 13:40:06,2019-10-08 13:40:06,0.025s,PASSED
click,Chrome 77.0.3865.90,,2019-10-08 13:40:06,2019-10-08 13:40:07,0.623s,PASSED
verifyElementVisible,Chrome 77.0.3865.90,,2019-10-08 13:40:07,2019-10-08 13:40:07,0.647s,PASSED
,,,,,,
Test Cases/ADMIN/Email Notifications/Start Selling/07_Templatedropdown,Chrome 77.0.3865.90,,2019-10-08 13:40:07,2019-10-08 13:40:08,0.109s,PASSED
waitForElementVisible,Chrome 77.0.3865.90,,2019-10-08 13:40:07,2019-10-08 13:40:07,0.015s,PASSED
verifyElementVisible,Chrome 77.0.3865.90,,2019-10-08 13:40:07,2019-10-08 13:40:08,0.015s,PASSED
,,,,,,
Test Cases/ADMIN/Email Notifications/Start Selling/08_Previewbutton,Chrome 77.0.3865.90,,2019-10-08 13:40:08,2019-10-08 13:40:08,0.141s,PASSED
waitForElementVisible,Chrome 77.0.3865.90,,2019-10-08 13:40:08,2019-10-08 13:40:08,0.026s,PASSED
verifyElementVisible,Chrome 77.0.3865.90,,2019-10-08 13:40:08,2019-10-08 13:40:08,0.016s,PASSED
,,,,,,
Test Cases/ADMIN/Email Notifications/Start Selling/09_Savebutton,Chrome 77.0.3865.90,,2019-10-08 13:40:08,2019-10-08 13:40:08,0.094s,PASSED
waitForElementVisible,Chrome 77.0.3865.90,,2019-10-08 13:40:08,2019-10-08 13:40:08,0.023s,PASSED
