Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
1_UI Verification,Chrome 78.0.3904.87,,2019-11-04 14:24:23,2019-11-04 14:25:17,53.460s,FAILED
,,,,,,
Test Cases/Utilities/ADMIN/Admin Login,Chrome 78.0.3904.87,,2019-11-04 14:24:23,2019-11-04 14:24:34,10.651s,PASSED
openBrowser,Chrome 78.0.3904.87,,2019-11-04 14:24:24,2019-11-04 14:24:27,3.392s,PASSED
maximizeWindow,Chrome 78.0.3904.87,,2019-11-04 14:24:27,2019-11-04 14:24:28,1.171s,PASSED
navigateToUrl,Chrome 78.0.3904.87,,2019-11-04 14:24:28,2019-11-04 14:24:30,2.016s,PASSED
"Statement - If (AdminAccountType == ""custom"")",Chrome 78.0.3904.87,,2019-11-04 14:24:30,2019-11-04 14:24:34,3.726s,PASSED
,,,,,,
Test Cases/ADMIN/Advanced/Private Settings/goto_PrivateSettings,Chrome 78.0.3904.87,,2019-11-04 14:24:34,2019-11-04 14:24:38,3.859s,PASSED
waitForElementVisible,Chrome 78.0.3904.87,,2019-11-04 14:24:34,2019-11-04 14:24:34,0.045s,PASSED
click,Chrome 78.0.3904.87,,2019-11-04 14:24:34,2019-11-04 14:24:34,0.103s,PASSED
waitForElementVisible,Chrome 78.0.3904.87,,2019-11-04 14:24:34,2019-11-04 14:24:35,0.566s,PASSED
click,Chrome 78.0.3904.87,,2019-11-04 14:24:35,2019-11-04 14:24:38,2.919s,PASSED
waitForElementVisible,Chrome 78.0.3904.87,,2019-11-04 14:24:38,2019-11-04 14:24:38,0.046s,PASSED
,,,,,,
Test Cases/ADMIN/Advanced/Private Settings/Private Off UI/00_sidemenuPrivate settings,Chrome 78.0.3904.87,,2019-11-04 14:24:38,2019-11-04 14:24:39,0.697s,PASSED
verifyElementPresent,Chrome 78.0.3904.87,,2019-11-04 14:24:38,2019-11-04 14:24:38,0.025s,PASSED
click,Chrome 78.0.3904.87,,2019-11-04 14:24:38,2019-11-04 14:24:39,0.561s,PASSED
,,,,,,
Test Cases/ADMIN/Advanced/Private Settings/Private Off UI/07_RestrictedDescription,Chrome 78.0.3904.87,,2019-11-04 14:24:39,2019-11-04 14:24:39,0.819s,PASSED
verifyElementPresent,Chrome 78.0.3904.87,,2019-11-04 14:24:39,2019-11-04 14:24:39,0.124s,PASSED
click,Chrome 78.0.3904.87,,2019-11-04 14:24:39,2019-11-04 14:24:39,0.476s,PASSED
verifyElementPresent,Chrome 78.0.3904.87,,2019-11-04 14:24:39,2019-11-04 14:24:39,0.089s,PASSED
,,,,,,
Test Cases/ADMIN/Advanced/Private Settings/Private Off UI/01_HeaderIcon,Chrome 78.0.3904.87,,2019-11-04 14:24:39,2019-11-04 14:24:40,0.893s,PASSED
verifyElementPresent,Chrome 78.0.3904.87,,2019-11-04 14:24:40,2019-11-04 14:24:40,0.092s,PASSED
click,Chrome 78.0.3904.87,,2019-11-04 14:24:40,2019-11-04 14:24:40,0.594s,PASSED
verifyElementPresent,Chrome 78.0.3904.87,,2019-11-04 14:24:40,2019-11-04 14:24:40,0.034s,PASSED
,,,,,,
Test Cases/ADMIN/Advanced/Private Settings/Private Off UI/02_HeaderRestricted Settings,Chrome 78.0.3904.87,,2019-11-04 14:24:40,2019-11-04 14:24:41,1.033s,PASSED
verifyElementPresent,Chrome 78.0.3904.87,,2019-11-04 14:24:41,2019-11-04 14:24:41,0.105s,PASSED
click,Chrome 78.0.3904.87,,2019-11-04 14:24:41,2019-11-04 14:24:41,0.610s,PASSED
verifyElementPresent,Chrome 78.0.3904.87,,2019-11-04 14:24:41,2019-11-04 14:24:41,0.121s,PASSED
,,,,,,
Test Cases/ADMIN/Advanced/Private Settings/Private Off UI/03_RestrictedAccessIcon,Chrome 78.0.3904.87,,2019-11-04 14:24:41,2019-11-04 14:25:14,32.296s,FAILED
verifyElementPresent,Chrome 78.0.3904.87,,2019-11-04 14:24:42,2019-11-04 14:24:42,0.015s,PASSED
click,Chrome 78.0.3904.87,,2019-11-04 14:24:42,2019-11-04 14:24:42,0.584s,PASSED
