Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
UI_Category,Chrome 77.0.3865.90,,2019-10-04 08:15:10,2019-10-04 08:15:27,16.426s,PASSED
,,,,,,
Test Cases/Utilities/ADMIN/Admin Login,Chrome 77.0.3865.90,,2019-10-04 08:15:11,2019-10-04 08:15:23,12.359s,PASSED
openBrowser,Chrome 77.0.3865.90,,2019-10-04 08:15:11,2019-10-04 08:15:14,2.851s,PASSED
maximizeWindow,Chrome 77.0.3865.90,,2019-10-04 08:15:14,2019-10-04 08:15:15,1.151s,PASSED
navigateToUrl,Chrome 77.0.3865.90,,2019-10-04 08:15:15,2019-10-04 08:15:20,4.562s,PASSED
"Statement - If (AdminAccountType == ""custom"")",Chrome 77.0.3865.90,,2019-10-04 08:15:20,2019-10-04 08:15:23,3.538s,PASSED
,,,,,,
Test Cases/ADMIN/Content Mgmt/Categories/Category UI/UI Verification_Categories/Precondition,Chrome 77.0.3865.90,,2019-10-04 08:15:23,2019-10-04 08:15:25,1.472s,PASSED
waitForElementVisible,Chrome 77.0.3865.90,,2019-10-04 08:15:23,2019-10-04 08:15:23,0.033s,PASSED
click,Chrome 77.0.3865.90,,2019-10-04 08:15:23,2019-10-04 08:15:23,0.090s,PASSED
waitForElementVisible,Chrome 77.0.3865.90,,2019-10-04 08:15:23,2019-10-04 08:15:24,0.538s,PASSED
click,Chrome 77.0.3865.90,,2019-10-04 08:15:24,2019-10-04 08:15:25,0.715s,PASSED
,,,,,,
Test Cases/ADMIN/Content Mgmt/Categories/Category UI/UI Verification_Categories/CategoryList/01_CategoryIcon,Chrome 77.0.3865.90,,2019-10-04 08:15:25,2019-10-04 08:15:25,0.198s,PASSED
waitForElementVisible,Chrome 77.0.3865.90,,2019-10-04 08:15:25,2019-10-04 08:15:25,0.039s,PASSED
verifyElementVisible,Chrome 77.0.3865.90,,2019-10-04 08:15:25,2019-10-04 08:15:25,0.076s,PASSED
,,,,,,
Test Cases/ADMIN/Content Mgmt/Categories/Category UI/UI Verification_Categories/CategoryList/02_CategoryLabel,Chrome 77.0.3865.90,,2019-10-04 08:15:25,2019-10-04 08:15:25,0.195s,PASSED
waitForElementVisible,Chrome 77.0.3865.90,,2019-10-04 08:15:25,2019-10-04 08:15:25,0.036s,PASSED
verifyElementVisible,Chrome 77.0.3865.90,,2019-10-04 08:15:25,2019-10-04 08:15:25,0.056s,PASSED
,,,,,,
Test Cases/ADMIN/Content Mgmt/Categories/Category UI/UI Verification_Categories/CategoryList/03_CategoryIcon,Chrome 77.0.3865.90,,2019-10-04 08:15:25,2019-10-04 08:15:25,0.220s,PASSED
waitForElementVisible,Chrome 77.0.3865.90,,2019-10-04 08:15:25,2019-10-04 08:15:25,0.062s,PASSED
verifyElementVisible,Chrome 77.0.3865.90,,2019-10-04 08:15:25,2019-10-04 08:15:25,0.029s,PASSED
,,,,,,
Test Cases/ADMIN/Content Mgmt/Categories/Category UI/UI Verification_Categories/CategoryList/04_CategoryDescription,Chrome 77.0.3865.90,,2019-10-04 08:15:25,2019-10-04 08:15:25,0.174s,PASSED
waitForElementVisible,Chrome 77.0.3865.90,,2019-10-04 08:15:25,2019-10-04 08:15:25,0.036s,PASSED
verifyElementVisible,Chrome 77.0.3865.90,,2019-10-04 08:15:25,2019-10-04 08:15:25,0.039s,PASSED
,,,,,,
Test Cases/ADMIN/Content Mgmt/Categories/Category UI/UI Verification_Categories/CategoryList/05_AddCategoryButton,Chrome 77.0.3865.90,,2019-10-04 08:15:25,2019-10-04 08:15:26,0.215s,PASSED
