Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Checkout 1,,,2019-11-27 14:11:02,2019-11-27 14:11:05,3.046s,FAILED
,,,,,,
Test Cases/CONSUMER/Checkout Scenario/AddItem_to_EvaluationWidget,,,2019-11-27 14:11:02,2019-11-27 14:11:03,1.199s,FAILED
waitForElementVisible,,,2019-11-27 14:11:02,2019-11-27 14:11:03,0.659s,FAILED
waitForElementVisible,,,2019-11-27 14:11:03,2019-11-27 14:11:03,0.011s,FAILED
comment,,,2019-11-27 14:11:03,2019-11-27 14:11:03,0.021s,PASSED
setText,,,2019-11-27 14:11:03,2019-11-27 14:11:03,0.030s,FAILED
Statement - price = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getText(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(CONSUMER/Item Details Page/textlabel_price)),,,2019-11-27 14:11:03,2019-11-27 14:11:03,0.026s,FAILED
"Statement - quantity = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getAttribute(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(CONSUMER/Item Details Page/domainUpDown_Quantity), ""value"")",,,2019-11-27 14:11:03,2019-11-27 14:11:03,0.055s,FAILED
Statement - intprice = new java.math.BigDecimal(price),,,2019-11-27 14:11:03,2019-11-27 14:11:03,0.009s,PASSED
,,,,,,
Test Cases/CONSUMER/Checkout Scenario/OrderNow_EvaluationTable,,,2019-11-27 14:11:03,2019-11-27 14:11:04,0.604s,FAILED
comment,,,2019-11-27 14:11:04,2019-11-27 14:11:04,0.006s,PASSED
waitForElementVisible,,,2019-11-27 14:11:04,2019-11-27 14:11:04,0.030s,FAILED
verifyElementText,,,2019-11-27 14:11:04,2019-11-27 14:11:04,0.024s,FAILED
click,,,2019-11-27 14:11:04,2019-11-27 14:11:04,0.034s,FAILED
,,,,,,
Test Cases/CONSUMER/Checkout Scenario/Checkout_DefaultFlow,,,2019-11-27 14:11:04,2019-11-27 14:11:05,0.568s,ERROR
"Statement - df = new java.text.DecimalFormat(#,###.00)",,,2019-11-27 14:11:05,2019-11-27 14:11:05,0.010s,PASSED
Statement - subtotal = subtotal = df.format(subtotal),,,2019-11-27 14:11:05,2019-11-27 14:11:05,0.002s,PASSED
