Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Checkout_DefaultFlow,Chrome 75.0.3770.100,,2019-07-03 16:24:14,2019-07-03 16:26:10,1m - 55.544s,FAILED
,,,,,,
Test Cases/Utilities/CONSUMER/Consumer Login,Chrome 75.0.3770.100,,2019-07-03 16:24:15,2019-07-03 16:24:30,15.449s,PASSED
openBrowser,Chrome 75.0.3770.100,,2019-07-03 16:24:15,2019-07-03 16:24:18,2.980s,PASSED
maximizeWindow,Chrome 75.0.3770.100,,2019-07-03 16:24:18,2019-07-03 16:24:19,1.190s,PASSED
navigateToUrl,Chrome 75.0.3770.100,,2019-07-03 16:24:19,2019-07-03 16:24:21,1.981s,PASSED
waitForElementVisible,Chrome 75.0.3770.100,,2019-07-03 16:24:21,2019-07-03 16:24:21,0.090s,PASSED
click,Chrome 75.0.3770.100,,2019-07-03 16:24:21,2019-07-03 16:24:21,0.125s,PASSED
"Statement - If (ConsumerAccountType == ""custom"")",Chrome 75.0.3770.100,,2019-07-03 16:24:21,2019-07-03 16:24:30,8.770s,PASSED
,,,,,,
Test Cases/CONSUMER/Checkout Scenario/search_Item,Chrome 75.0.3770.100,,2019-07-03 16:24:30,2019-07-03 16:24:45,14.449s,PASSED
comment,Chrome 75.0.3770.100,,2019-07-03 16:24:30,2019-07-03 16:24:30,0.019s,PASSED
waitForElementVisible,Chrome 75.0.3770.100,,2019-07-03 16:24:30,2019-07-03 16:24:31,0.048s,PASSED
setText,Chrome 75.0.3770.100,,2019-07-03 16:24:31,2019-07-03 16:24:31,0.758s,PASSED
click,Chrome 75.0.3770.100,,2019-07-03 16:24:31,2019-07-03 16:24:38,6.525s,PASSED
waitForElementVisible,Chrome 75.0.3770.100,,2019-07-03 16:24:38,2019-07-03 16:24:39,1.107s,PASSED
verifyElementText,Chrome 75.0.3770.100,,2019-07-03 16:24:39,2019-07-03 16:24:39,0.058s,PASSED
click,Chrome 75.0.3770.100,,2019-07-03 16:24:39,2019-07-03 16:24:45,5.752s,PASSED
,,,,,,
Test Cases/CONSUMER/Checkout Scenario/AddItem_to_EvaluationWidget,Chrome 75.0.3770.100,,2019-07-03 16:24:45,2019-07-03 16:25:36,51.068s,FAILED
waitForElementVisible,Chrome 75.0.3770.100,,2019-07-03 16:24:45,2019-07-03 16:24:46,0.693s,PASSED
waitForElementVisible,Chrome 75.0.3770.100,,2019-07-03 16:24:46,2019-07-03 16:24:46,0.041s,PASSED
comment,Chrome 75.0.3770.100,,2019-07-03 16:24:46,2019-07-03 16:24:46,0.001s,PASSED
setText,Chrome 75.0.3770.100,,2019-07-03 16:24:46,2019-07-03 16:24:46,0.230s,PASSED
Statement - price = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getText(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(CONSUMER/Item Details Page/textlabel_price)),Chrome 75.0.3770.100,,2019-07-03 16:24:46,2019-07-03 16:24:46,0.130s,PASSED
"Statement - quantity = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getAttribute(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(CONSUMER/Item Details Page/domainUpDown_Quantity), ""value"")",Chrome 75.0.3770.100,,2019-07-03 16:24:46,2019-07-03 16:24:46,0.065s,PASSED
Statement - intprice = new java.math.BigDecimal(price),Chrome 75.0.3770.100,,2019-07-03 16:24:46,2019-07-03 16:24:46,0.006s,PASSED
Statement - intquantity = new java.math.BigDecimal(quantity),Chrome 75.0.3770.100,,2019-07-03 16:24:46,2019-07-03 16:24:46,0.001s,PASSED
Statement - subtotal = intprice * intquantity,Chrome 75.0.3770.100,,2019-07-03 16:24:46,2019-07-03 16:24:46,0.005s,PASSED
"Statement - df = new java.text.DecimalFormat(#,###.00)",Chrome 75.0.3770.100,,2019-07-03 16:24:46,2019-07-03 16:24:46,0.012s,PASSED
Statement - println(df.format(new java.math.BigDecimal(subtotal))),Chrome 75.0.3770.100,,2019-07-03 16:24:46,2019-07-03 16:24:46,0.008s,PASSED
verifyEqual,Chrome 75.0.3770.100,,2019-07-03 16:24:46,2019-07-03 16:24:46,0.124s,PASSED
comment,Chrome 75.0.3770.100,,2019-07-03 16:24:46,2019-07-03 16:24:46,0.001s,PASSED
click,Chrome 75.0.3770.100,,2019-07-03 16:24:46,2019-07-03 16:24:46,0.101s,PASSED
waitForElementVisible,Chrome 75.0.3770.100,,2019-07-03 16:24:46,2019-07-03 16:24:46,0.049s,PASSED
verifyElementVisible,Chrome 75.0.3770.100,,2019-07-03 16:24:46,2019-07-03 16:24:50,3.161s,PASSED
waitForElementVisible,Chrome 75.0.3770.100,,2019-07-03 16:24:50,2019-07-03 16:24:50,0.045s,PASSED
click,Chrome 75.0.3770.100,,2019-07-03 16:24:50,2019-07-03 16:24:50,0.081s,PASSED
selectOptionByLabel,Chrome 75.0.3770.100,,2019-07-03 16:24:50,2019-07-03 16:24:50,0.241s,PASSED
waitForElementVisible,Chrome 75.0.3770.100,,2019-07-03 16:24:50,2019-07-03 16:24:50,0.618s,PASSED
setText,Chrome 75.0.3770.100,,2019-07-03 16:24:50,2019-07-03 16:24:51,0.181s,PASSED
click,Chrome 75.0.3770.100,,2019-07-03 16:24:51,2019-07-03 16:24:51,0.129s,PASSED
waitForPageLoad,Chrome 75.0.3770.100,,2019-07-03 16:24:51,2019-07-03 16:24:51,0.038s,PASSED
waitForElementAttributeValue,Chrome 75.0.3770.100,,2019-07-03 16:24:51,2019-07-03 16:24:56,5.201s,PASSED
verifyElementText,Chrome 75.0.3770.100,,2019-07-03 16:24:56,2019-07-03 16:24:56,0.421s,FAILED
click,Chrome 75.0.3770.100,,2019-07-03 16:24:56,2019-07-03 16:24:57,0.059s,PASSED
click,Chrome 75.0.3770.100,,2019-07-03 16:24:57,2019-07-03 16:24:57,0.104s,PASSED
waitForElementVisible,Chrome 75.0.3770.100,,2019-07-03 16:24:57,2019-07-03 16:25:28,31.511s,PASSED
click,Chrome 75.0.3770.100,,2019-07-03 16:25:28,2019-07-03 16:25:36,7.638s,PASSED
,,,,,,
Test Cases/CONSUMER/Checkout Scenario/OrderNow_EvaluationTable,Chrome 75.0.3770.100,,2019-07-03 16:25:36,2019-07-03 16:25:36,0.145s,ERROR
comment,Chrome 75.0.3770.100,,2019-07-03 16:25:36,2019-07-03 16:25:36,0.001s,PASSED
waitForElementVisible,Chrome 75.0.3770.100,,2019-07-03 16:25:36,2019-07-03 16:25:36,0.055s,PASSED
verifyElementText,Chrome 75.0.3770.100,,2019-07-03 16:25:36,2019-07-03 16:25:36,0.006s,PASSED
,,,,,,
Test Cases/CONSUMER/Checkout Scenario/Checkout_DefaultFlow,Chrome 75.0.3770.100,,2019-07-03 16:25:36,2019-07-03 16:26:09,33.327s,ERROR
comment,Chrome 75.0.3770.100,,2019-07-03 16:25:36,2019-07-03 16:25:36,0.001s,PASSED
waitForElementVisible,Chrome 75.0.3770.100,,2019-07-03 16:25:36,2019-07-03 16:26:01,24.517s,PASSED
Statement - name = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getText(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(CONSUMER/Delivery Checkout Page/default_Name)),Chrome 75.0.3770.100,,2019-07-03 16:26:01,2019-07-03 16:26:01,0.038s,PASSED
Statement - address = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getText(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(CONSUMER/Delivery Checkout Page/default_Address)),Chrome 75.0.3770.100,,2019-07-03 16:26:01,2019-07-03 16:26:01,0.042s,PASSED
Statement - country = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getText(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(CONSUMER/Delivery Checkout Page/default_Country)),Chrome 75.0.3770.100,,2019-07-03 16:26:01,2019-07-03 16:26:01,0.045s,PASSED
Statement - state = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getText(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(CONSUMER/Delivery Checkout Page/default_State)),Chrome 75.0.3770.100,,2019-07-03 16:26:01,2019-07-03 16:26:01,0.045s,PASSED
Statement - city = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getText(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(CONSUMER/Delivery Checkout Page/default_City)),Chrome 75.0.3770.100,,2019-07-03 16:26:01,2019-07-03 16:26:01,0.041s,PASSED
Statement - postalcode = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getText(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(CONSUMER/Delivery Checkout Page/default_PostalCode)),Chrome 75.0.3770.100,,2019-07-03 16:26:01,2019-07-03 16:26:01,0.038s,PASSED
click,Chrome 75.0.3770.100,,2019-07-03 16:26:01,2019-07-03 16:26:01,0.076s,PASSED
scrollToElement,Chrome 75.0.3770.100,,2019-07-03 16:26:01,2019-07-03 16:26:01,0.046s,PASSED
click,Chrome 75.0.3770.100,,2019-07-03 16:26:01,2019-07-03 16:26:01,0.070s,PASSED
comment,Chrome 75.0.3770.100,,2019-07-03 16:26:01,2019-07-03 16:26:01,0.001s,PASSED
waitForElementVisible,Chrome 75.0.3770.100,,2019-07-03 16:26:01,2019-07-03 16:26:09,7.206s,PASSED
verifyElementText,Chrome 75.0.3770.100,,2019-07-03 16:26:09,2019-07-03 16:26:09,0.042s,PASSED
verifyElementText,Chrome 75.0.3770.100,,2019-07-03 16:26:09,2019-07-03 16:26:09,0.051s,PASSED
verifyElementText,Chrome 75.0.3770.100,,2019-07-03 16:26:09,2019-07-03 16:26:09,0.053s,PASSED
verifyElementText,Chrome 75.0.3770.100,,2019-07-03 16:26:09,2019-07-03 16:26:09,0.045s,PASSED
verifyElementText,Chrome 75.0.3770.100,,2019-07-03 16:26:09,2019-07-03 16:26:09,0.041s,PASSED
verifyElementText,Chrome 75.0.3770.100,,2019-07-03 16:26:09,2019-07-03 16:26:09,0.043s,PASSED
click,Chrome 75.0.3770.100,,2019-07-03 16:26:09,2019-07-03 16:26:09,0.337s,PASSED
comment,Chrome 75.0.3770.100,,2019-07-03 16:26:09,2019-07-03 16:26:09,0.000s,PASSED
Statement - actualSubtotal = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getText(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Object Repository/CONSUMER/Checkout Review Page/textlabel_SubTotalValue)),Chrome 75.0.3770.100,,2019-07-03 16:26:09,2019-07-03 16:26:09,0.041s,PASSED
verifyEqual,Chrome 75.0.3770.100,,2019-07-03 16:26:09,2019-07-03 16:26:09,0.001s,PASSED
