Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
UI_Homepage,Chrome 76.0.3809.132,,2019-09-16 13:51:21,2019-09-16 13:51:40,19.363s,PASSED
,,,,,,
Test Cases/Utilities/CONSUMER/Consumer Login,Chrome 76.0.3809.132,,2019-09-16 13:51:21,2019-09-16 13:51:32,11.104s,PASSED
openBrowser,Chrome 76.0.3809.132,,2019-09-16 13:51:22,2019-09-16 13:51:25,3.166s,PASSED
maximizeWindow,Chrome 76.0.3809.132,,2019-09-16 13:51:25,2019-09-16 13:51:26,1.145s,PASSED
navigateToUrl,Chrome 76.0.3809.132,,2019-09-16 13:51:26,2019-09-16 13:51:28,2.125s,PASSED
waitForElementVisible,Chrome 76.0.3809.132,,2019-09-16 13:51:28,2019-09-16 13:51:28,0.102s,PASSED
click,Chrome 76.0.3809.132,,2019-09-16 13:51:28,2019-09-16 13:51:28,0.103s,PASSED
"Statement - If (ConsumerAccountType == ""custom"")",Chrome 76.0.3809.132,,2019-09-16 13:51:28,2019-09-16 13:51:32,4.121s,PASSED
,,,,,,
Test Cases/CONSUMER/Homepage/UI/01_language,Chrome 76.0.3809.132,,2019-09-16 13:51:32,2019-09-16 13:51:33,0.268s,PASSED
waitForElementVisible,Chrome 76.0.3809.132,,2019-09-16 13:51:33,2019-09-16 13:51:33,0.054s,PASSED
verifyElementVisible,Chrome 76.0.3809.132,,2019-09-16 13:51:33,2019-09-16 13:51:33,0.031s,PASSED
,,,,,,
Test Cases/CONSUMER/Homepage/UI/02_buyerdisplayName,Chrome 76.0.3809.132,,2019-09-16 13:51:33,2019-09-16 13:51:33,0.170s,PASSED
waitForElementVisible,Chrome 76.0.3809.132,,2019-09-16 13:51:33,2019-09-16 13:51:33,0.029s,PASSED
verifyElementVisible,Chrome 76.0.3809.132,,2019-09-16 13:51:33,2019-09-16 13:51:33,0.042s,PASSED
,,,,,,
Test Cases/CONSUMER/Homepage/UI/03_buyerdropdown,Chrome 76.0.3809.132,,2019-09-16 13:51:33,2019-09-16 13:51:33,0.203s,PASSED
waitForElementVisible,Chrome 76.0.3809.132,,2019-09-16 13:51:33,2019-09-16 13:51:33,0.038s,PASSED
verifyElementVisible,Chrome 76.0.3809.132,,2019-09-16 13:51:33,2019-09-16 13:51:33,0.045s,PASSED
,,,,,,
Test Cases/CONSUMER/Homepage/UI/04_markeplaceLogo,Chrome 76.0.3809.132,,2019-09-16 13:51:33,2019-09-16 13:51:33,0.206s,PASSED
waitForElementVisible,Chrome 76.0.3809.132,,2019-09-16 13:51:33,2019-09-16 13:51:33,0.031s,PASSED
verifyElementVisible,Chrome 76.0.3809.132,,2019-09-16 13:51:33,2019-09-16 13:51:33,0.045s,PASSED
,,,,,,
Test Cases/CONSUMER/Homepage/UI/05_textfieldSearch,Chrome 76.0.3809.132,,2019-09-16 13:51:33,2019-09-16 13:51:33,0.181s,PASSED
waitForElementVisible,Chrome 76.0.3809.132,,2019-09-16 13:51:33,2019-09-16 13:51:33,0.031s,PASSED
verifyElementVisible,Chrome 76.0.3809.132,,2019-09-16 13:51:33,2019-09-16 13:51:33,0.042s,PASSED
,,,,,,
Test Cases/CONSUMER/Homepage/UI/06_buttonSearch,Chrome 76.0.3809.132,,2019-09-16 13:51:33,2019-09-16 13:51:34,0.214s,PASSED
waitForElementVisible,Chrome 76.0.3809.132,,2019-09-16 13:51:34,2019-09-16 13:51:34,0.044s,PASSED
verifyElementVisible,Chrome 76.0.3809.132,,2019-09-16 13:51:34,2019-09-16 13:51:34,0.052s,PASSED
,,,,,,
Test Cases/CONSUMER/Homepage/UI/07_dropdownCategory,Chrome 76.0.3809.132,,2019-09-16 13:51:34,2019-09-16 13:51:34,0.353s,PASSED
waitForElementVisible,Chrome 76.0.3809.132,,2019-09-16 13:51:34,2019-09-16 13:51:34,0.176s,PASSED
verifyElementVisible,Chrome 76.0.3809.132,,2019-09-16 13:51:34,2019-09-16 13:51:34,0.057s,PASSED
,,,,,,
Test Cases/CONSUMER/Homepage/UI/08_buttonInbox,Chrome 76.0.3809.132,,2019-09-16 13:51:34,2019-09-16 13:51:34,0.365s,PASSED
waitForElementVisible,Chrome 76.0.3809.132,,2019-09-16 13:51:34,2019-09-16 13:51:34,0.196s,PASSED
verifyElementVisible,Chrome 76.0.3809.132,,2019-09-16 13:51:34,2019-09-16 13:51:34,0.036s,PASSED
,,,,,,
Test Cases/CONSUMER/Homepage/UI/09_iconEvaluationList,Chrome 76.0.3809.132,,2019-09-16 13:51:34,2019-09-16 13:51:35,0.357s,PASSED
waitForElementVisible,Chrome 76.0.3809.132,,2019-09-16 13:51:35,2019-09-16 13:51:35,0.036s,PASSED
verifyElementVisible,Chrome 76.0.3809.132,,2019-09-16 13:51:35,2019-09-16 13:51:35,0.053s,PASSED
,,,,,,
Test Cases/CONSUMER/Homepage/UI/10_textlabelExternalLinks,Chrome 76.0.3809.132,,2019-09-16 13:51:35,2019-09-16 13:51:35,0.470s,PASSED
waitForElementVisible,Chrome 76.0.3809.132,,2019-09-16 13:51:35,2019-09-16 13:51:35,0.029s,PASSED
verifyElementVisible,Chrome 76.0.3809.132,,2019-09-16 13:51:35,2019-09-16 13:51:35,0.051s,PASSED
,,,,,,
