Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
UI_Settings,Chrome 76.0.3809.132,,2019-09-17 11:58:15,2019-09-17 11:58:52,36.762s,FAILED
,,,,,,
Test Cases/Utilities/CONSUMER/Consumer Login,Chrome 76.0.3809.132,,2019-09-17 11:58:15,2019-09-17 11:58:25,10.119s,PASSED
openBrowser,Chrome 76.0.3809.132,,2019-09-17 11:58:16,2019-09-17 11:58:19,3.340s,PASSED
maximizeWindow,Chrome 76.0.3809.132,,2019-09-17 11:58:19,2019-09-17 11:58:20,1.194s,PASSED
navigateToUrl,Chrome 76.0.3809.132,,2019-09-17 11:58:20,2019-09-17 11:58:22,1.910s,PASSED
waitForElementVisible,Chrome 76.0.3809.132,,2019-09-17 11:58:22,2019-09-17 11:58:22,0.101s,PASSED
click,Chrome 76.0.3809.132,,2019-09-17 11:58:22,2019-09-17 11:58:22,0.119s,PASSED
"Statement - If (ConsumerAccountType == ""custom"")",Chrome 76.0.3809.132,,2019-09-17 11:58:22,2019-09-17 11:58:25,3.070s,PASSED
,,,,,,
Test Cases/CONSUMER/Settings/Simple/navigateTo_SettingsPage,Chrome 76.0.3809.132,,2019-09-17 11:58:25,2019-09-17 11:58:27,2.154s,PASSED
waitForElementVisible,Chrome 76.0.3809.132,,2019-09-17 11:58:26,2019-09-17 11:58:26,0.049s,PASSED
click,Chrome 76.0.3809.132,,2019-09-17 11:58:26,2019-09-17 11:58:26,0.081s,PASSED
waitForElementVisible,Chrome 76.0.3809.132,,2019-09-17 11:58:26,2019-09-17 11:58:26,0.564s,PASSED
click,Chrome 76.0.3809.132,,2019-09-17 11:58:26,2019-09-17 11:58:27,1.229s,PASSED
,,,,,,
Test Cases/CONSUMER/Settings/UI/01_textlabelHome,Chrome 76.0.3809.132,,2019-09-17 11:58:27,2019-09-17 11:58:28,0.332s,PASSED
waitForElementVisible,Chrome 76.0.3809.132,,2019-09-17 11:58:28,2019-09-17 11:58:28,0.065s,PASSED
verifyElementVisible,Chrome 76.0.3809.132,,2019-09-17 11:58:28,2019-09-17 11:58:28,0.042s,PASSED
verifyElementClickable,Chrome 76.0.3809.132,,2019-09-17 11:58:28,2019-09-17 11:58:28,0.058s,PASSED
,,,,,,
Test Cases/CONSUMER/Settings/UI/02_linktextUserSettings,Chrome 76.0.3809.132,,2019-09-17 11:58:28,2019-09-17 11:58:28,0.270s,PASSED
waitForElementVisible,Chrome 76.0.3809.132,,2019-09-17 11:58:28,2019-09-17 11:58:28,0.032s,PASSED
verifyElementVisible,Chrome 76.0.3809.132,,2019-09-17 11:58:28,2019-09-17 11:58:28,0.048s,PASSED
verifyElementClickable,Chrome 76.0.3809.132,,2019-09-17 11:58:28,2019-09-17 11:58:28,0.047s,PASSED
,,,,,,
Test Cases/CONSUMER/Settings/UI/03_textlabelUserSettings,Chrome 76.0.3809.132,,2019-09-17 11:58:28,2019-09-17 11:58:28,0.240s,PASSED
waitForElementVisible,Chrome 76.0.3809.132,,2019-09-17 11:58:28,2019-09-17 11:58:28,0.044s,PASSED
verifyElementVisible,Chrome 76.0.3809.132,,2019-09-17 11:58:28,2019-09-17 11:58:28,0.051s,PASSED
,,,,,,
Test Cases/CONSUMER/Settings/UI/04_linktextProfile,Chrome 76.0.3809.132,,2019-09-17 11:58:28,2019-09-17 11:58:29,0.240s,PASSED
waitForElementVisible,Chrome 76.0.3809.132,,2019-09-17 11:58:28,2019-09-17 11:58:28,0.036s,PASSED
verifyElementVisible,Chrome 76.0.3809.132,,2019-09-17 11:58:28,2019-09-17 11:58:29,0.054s,PASSED
,,,,,,
Test Cases/CONSUMER/Settings/UI/06_buttonChange,Chrome 76.0.3809.132,,2019-09-17 11:58:29,2019-09-17 11:58:29,0.239s,PASSED
waitForElementVisible,Chrome 76.0.3809.132,,2019-09-17 11:58:29,2019-09-17 11:58:29,0.032s,PASSED
verifyElementVisible,Chrome 76.0.3809.132,,2019-09-17 11:58:29,2019-09-17 11:58:29,0.073s,PASSED
,,,,,,
Test Cases/CONSUMER/Settings/UI/05_linktextAddress,Chrome 76.0.3809.132,,2019-09-17 11:58:29,2019-09-17 11:58:29,0.323s,PASSED
waitForElementVisible,Chrome 76.0.3809.132,,2019-09-17 11:58:29,2019-09-17 11:58:29,0.042s,PASSED
verifyElementVisible,Chrome 76.0.3809.132,,2019-09-17 11:58:29,2019-09-17 11:58:29,0.169s,PASSED
,,,,,,
Test Cases/CONSUMER/Settings/UI/07_textlabelDisplayName,Chrome 76.0.3809.132,,2019-09-17 11:58:29,2019-09-17 11:58:30,0.439s,PASSED
waitForElementVisible,Chrome 76.0.3809.132,,2019-09-17 11:58:29,2019-09-17 11:58:29,0.080s,PASSED
verifyElementVisible,Chrome 76.0.3809.132,,2019-09-17 11:58:29,2019-09-17 11:58:30,0.236s,PASSED
,,,,,,
Test Cases/CONSUMER/Settings/UI/08_textfieldDisplayName,Chrome 76.0.3809.132,,2019-09-17 11:58:30,2019-09-17 11:58:30,0.256s,PASSED
waitForElementVisible,Chrome 76.0.3809.132,,2019-09-17 11:58:30,2019-09-17 11:58:30,0.106s,PASSED
verifyElementVisible,Chrome 76.0.3809.132,,2019-09-17 11:58:30,2019-09-17 11:58:30,0.040s,PASSED
,,,,,,
Test Cases/CONSUMER/Settings/UI/09_textlabelFirstName,Chrome 76.0.3809.132,,2019-09-17 11:58:30,2019-09-17 11:58:30,0.246s,PASSED
waitForElementVisible,Chrome 76.0.3809.132,,2019-09-17 11:58:30,2019-09-17 11:58:30,0.081s,PASSED
verifyElementVisible,Chrome 76.0.3809.132,,2019-09-17 11:58:30,2019-09-17 11:58:30,0.047s,PASSED
,,,,,,
Test Cases/CONSUMER/Settings/UI/10_textfieldFirstName,Chrome 76.0.3809.132,,2019-09-17 11:58:30,2019-09-17 11:58:30,0.260s,PASSED
waitForElementVisible,Chrome 76.0.3809.132,,2019-09-17 11:58:30,2019-09-17 11:58:30,0.118s,PASSED
verifyElementVisible,Chrome 76.0.3809.132,,2019-09-17 11:58:30,2019-09-17 11:58:30,0.051s,PASSED
,,,,,,
Test Cases/CONSUMER/Settings/UI/11_textlabelLastName,Chrome 76.0.3809.132,,2019-09-17 11:58:30,2019-09-17 11:58:31,0.230s,PASSED
waitForElementVisible,Chrome 76.0.3809.132,,2019-09-17 11:58:30,2019-09-17 11:58:30,0.086s,PASSED
verifyElementVisible,Chrome 76.0.3809.132,,2019-09-17 11:58:30,2019-09-17 11:58:31,0.040s,PASSED
,,,,,,
Test Cases/CONSUMER/Settings/UI/12_textfieldLastName,Chrome 76.0.3809.132,,2019-09-17 11:58:31,2019-09-17 11:58:31,0.387s,PASSED
waitForElementVisible,Chrome 76.0.3809.132,,2019-09-17 11:58:31,2019-09-17 11:58:31,0.022s,PASSED
verifyElementVisible,Chrome 76.0.3809.132,,2019-09-17 11:58:31,2019-09-17 11:58:31,0.122s,PASSED
,,,,,,
Test Cases/CONSUMER/Settings/UI/13_textlabelEmail,Chrome 76.0.3809.132,,2019-09-17 11:58:31,2019-09-17 11:58:31,0.190s,PASSED
waitForElementVisible,Chrome 76.0.3809.132,,2019-09-17 11:58:31,2019-09-17 11:58:31,0.023s,PASSED
verifyElementVisible,Chrome 76.0.3809.132,,2019-09-17 11:58:31,2019-09-17 11:58:31,0.095s,PASSED
,,,,,,
Test Cases/CONSUMER/Settings/UI/14_textfieldEmail,Chrome 76.0.3809.132,,2019-09-17 11:58:31,2019-09-17 11:58:31,0.268s,PASSED
waitForElementVisible,Chrome 76.0.3809.132,,2019-09-17 11:58:31,2019-09-17 11:58:31,0.024s,PASSED
verifyElementVisible,Chrome 76.0.3809.132,,2019-09-17 11:58:31,2019-09-17 11:58:31,0.156s,PASSED
,,,,,,
Test Cases/CONSUMER/Settings/UI/15_textlabelContact,Chrome 76.0.3809.132,,2019-09-17 11:58:31,2019-09-17 11:58:32,0.253s,PASSED
waitForElementVisible,Chrome 76.0.3809.132,,2019-09-17 11:58:31,2019-09-17 11:58:32,0.021s,PASSED
verifyElementVisible,Chrome 76.0.3809.132,,2019-09-17 11:58:32,2019-09-17 11:58:32,0.134s,PASSED
,,,,,,
Test Cases/CONSUMER/Settings/UI/16_textfieldContact,Chrome 76.0.3809.132,,2019-09-17 11:58:32,2019-09-17 11:58:32,0.241s,PASSED
waitForElementVisible,Chrome 76.0.3809.132,,2019-09-17 11:58:32,2019-09-17 11:58:32,0.112s,PASSED
verifyElementVisible,Chrome 76.0.3809.132,,2019-09-17 11:58:32,2019-09-17 11:58:32,0.040s,PASSED
,,,,,,
Test Cases/CONSUMER/Settings/UI/17_buttonNext,Chrome 76.0.3809.132,,2019-09-17 11:58:32,2019-09-17 11:58:32,0.259s,PASSED
waitForElementVisible,Chrome 76.0.3809.132,,2019-09-17 11:58:32,2019-09-17 11:58:32,0.140s,PASSED
verifyElementVisible,Chrome 76.0.3809.132,,2019-09-17 11:58:32,2019-09-17 11:58:32,0.037s,PASSED
,,,,,,
Test Cases/CONSUMER/Settings/Simple/dataInput_Profiletab,Chrome 76.0.3809.132,,2019-09-17 11:58:32,2019-09-17 11:58:37,5.056s,PASSED
waitForElementVisible,Chrome 76.0.3809.132,,2019-09-17 11:58:32,2019-09-17 11:58:32,0.024s,PASSED
comment,Chrome 76.0.3809.132,,2019-09-17 11:58:32,2019-09-17 11:58:32,0.019s,PASSED
click,Chrome 76.0.3809.132,,2019-09-17 11:58:32,2019-09-17 11:58:33,0.193s,PASSED
delay,Chrome 76.0.3809.132,,2019-09-17 11:58:33,2019-09-17 11:58:34,1.008s,PASSED
uploadFile,Chrome 76.0.3809.132,,2019-09-17 11:58:34,2019-09-17 11:58:34,0.097s,PASSED
waitForElementVisible,Chrome 76.0.3809.132,,2019-09-17 11:58:34,2019-09-17 11:58:34,0.054s,PASSED
click,Chrome 76.0.3809.132,,2019-09-17 11:58:34,2019-09-17 11:58:34,0.141s,PASSED
delay,Chrome 76.0.3809.132,,2019-09-17 11:58:34,2019-09-17 11:58:36,2.002s,PASSED
comment,Chrome 76.0.3809.132,,2019-09-17 11:58:36,2019-09-17 11:58:36,0.003s,PASSED
setText,Chrome 76.0.3809.132,,2019-09-17 11:58:36,2019-09-17 11:58:36,0.387s,PASSED
comment,Chrome 76.0.3809.132,,2019-09-17 11:58:36,2019-09-17 11:58:36,0.000s,PASSED
setText,Chrome 76.0.3809.132,,2019-09-17 11:58:36,2019-09-17 11:58:36,0.120s,PASSED
comment,Chrome 76.0.3809.132,,2019-09-17 11:58:36,2019-09-17 11:58:36,0.001s,PASSED
setText,Chrome 76.0.3809.132,,2019-09-17 11:58:36,2019-09-17 11:58:37,0.111s,PASSED
comment,Chrome 76.0.3809.132,,2019-09-17 11:58:37,2019-09-17 11:58:37,0.001s,PASSED
